title,year_published
"Williams G.J., J.E. Smith, E.J. Conklin, J.M. Gove, E. Sala and S.A. Sandin. 2013. Benthic communities at two remote Pacific coral reefs: effects of reef habitat, depth, and wave energy gradients on spatial patterns. PeerJ 1:e81 {PARC-0095}",2013
"McCauley, D.J., E. Power, D.W. Bird, A. McInturff, R.B. Dunbar, W.H. Durham, F. Micheli, and H.S. Young. (2013). Conservation at the edges of the world. Biological Conservation 165:139-145{PARC-0096}",2013
"Williams, G.J. 2013. Contrasting recovery following removal of growth anomalies in the corals Acropora and Montipora. Diseases of Aquatic Organisms 106:181-185{PARC-0097}",2013
"Williams, G.J. N. Price, B. Ushijima, G.A. Aeby, S. Callahan, S.K. Davy, J.M. Gove, M.D. Johnson, I.S. Knapp, A. Shore-Maggio, J.E. Smith, P. Videau, T. M. Work. 2014. Ocean warming and acidification have complex interactive effects on the dynamics of a marine fungal disease. Proceedings of the Royal Society Biological Sciences 281- 20133069 {PARC-0098}",2014
"Naro-Maciel, E., S. Gaughran, N.F. Putman, G. Amato, F. Arengo, P. H. Dutton, K.W. McFadden, E. C. Vintinner, E. J. Sterling. 2014.   Predicting connectivity of green turtles at Palmyra Atoll, Central Pacific: A focus on mtDNA and dispersal modeling. Journal of the Royal Society Interface 11:20130999 {PARC-0099}",2014
"Gardner JPA, Garton DW, Collen JD, Zwartz D. 2014. Distant storms as drivers of environmental change at Pacific atolls. PLoS ONE 9:e87971 {PARC-0100}",2014
"Hamilton, S.L., J.E. Smith, N.N. Price, and S.A. Sandin. 2014. Quantifying patterns of fish herbivory on Palmyra Atoll (USA), an uninhabited predator-dominated central Pacific coral reef. Marine Ecology Progress Series 501:141-155 {PARC- 0101}",2014
"Young, H.S., D.J. McCauley, A. Pollock, and Dirzo, R. Differential plant damage due to litterfall in palm-dominated forest stands in a Central Pacific atoll. Journal of Tropical Ecology 30:231-236 DOI: http://dx.doi.org/10.1017/S026646741400008X  {PARC -0102}",2014
"Gardner J.P.A, Bartz R.J., Brainard R.E., Collen J.D., Dunbar R.B., Garton D.W., Powell S. 2014. Conservation management options and actions: Putative decline of coral cover at Palmyra Atoll, Northern Line Islands, as a case study. Marine Pollution Bulletin 84:182-190. {PARC-0103}",2014
"McCauley D.J., P.A. DeSalles, H.S. Young, Y.P. Papastamatiou, J.E. Caselle, M.H. Deakos, J.P.A. Gardner, D.W. Garton, J.D. Collen, F. Micheli. 2014. Reliance of mobile species on sensitive habitats: A case study of manta rays (Manta alfredi) and lagoons. Marine Biology 161:1987-1998. Doi 10.1007/s00227-014-2478-7 {PARC- 0104}",2014
