iucn_sid,sciname,class,common,category
"NA",Stegastes albifasciatus,actinopterygii,Whitebar gregory,NE
"NA",Stegastes aureus,actinopterygii,Golden gregory,NE
187424,Stethojulis bandanensis,actinopterygii,Red-spot rainbowfish,LC
"NA",Stegastes fasciolatus,actinopterygii,Pacific gregory,NE
"NA",Stegastes lividus,actinopterygii,NA,NE
"NA",Stegastes nigricans,actinopterygii,Dusky farmerfish,NE
"NA",Sufflamen bursa,actinopterygii,Boomerang triggerfish,NE
"NA",Sufflamen chrysopterum,actinopterygii,Halfmoon triggerfish,NE
67856085,Synodus variegatus,actinopterygii,Variegated Lizardfish,LC
21857,Thunnus albacares,actinopterygii,Yellowfin Tuna,NT
187490,Thalassoma amblycephalum,actinopterygii,Bluntheaded wrasse,LC
187559,Thalassoma hardwicke,actinopterygii,Six-banded wrasse,LC
187381,Thalassoma lunare,actinopterygii,Crescent-Tail Wrasse,LC
187685,Thalassoma lutescens,actinopterygii,Yellow-brown wrasse,LC
187746,Thalassoma purpureum,actinopterygii,Purple wrasse,LC
187733,Thalassoma quinquevittatum,actinopterygii,Five striped surge wrasse,LC
187707,Thalassoma trilobatum,actinopterygii,Green-blocked wrasse,LC
39384,Triaenodon obesus,chondrichthyes,Whitetip Reef Shark,NT
183274,Tylosurus crocodilus,actinopterygii,Hound Needlefish,LC
132738,Variola louti,actinopterygii,Yellow-edged Lyretail,LC
193085,Valenciennea strigata,actinopterygii,Golden-head Sleeper-goby,LC
"NA",Xanthichthys auromarginatus,actinopterygii,Gilded triggerfish,NE
"NA",Xanthichthys caeruleolineatus,actinopterygii,Outrigger triggerfish,NE
69741115,Zanclus cornutus,actinopterygii,Moorish Idol,LC
178001,Zebrasoma rostratum,actinopterygii,Longnose Tang,DD
178005,Zebrasoma scopas,actinopterygii,Brushtail Tang,LC
178010,Zebrasoma veliferum,actinopterygii,Sailfin Tang,LC
