iucn_sid,sciname,class,common,category
187715,Bodianus anthioides,actinopterygii,Lyre-tail hogfish,LC
187716,Anampses caeruleopunctatus,actinopterygii,Bluespotted Wrasse,LC
187723,Anampses meleagrides,actinopterygii,Spotted Wrasse,LC
187755,Labroides rubrolabiatus,actinopterygii,Redlip cleaner wrasse,LC
187767,Labroides bicolor,actinopterygii,Two-colour cleaner wrasse,LC
187784,Anampses twistii,actinopterygii,Yellowbreasted Wrasse,LC
187802,Coris aygula,actinopterygii,False clownwrasse,LC
190704,Scarus tricolor,actinopterygii,Tricolour Parrotfish,LC
190727,Chlorurus spilurus,actinopterygii,Bullethead Parrotfish,LC
190731,Scarus rubroviolaceus,actinopterygii,Ember Parrotfish,LC
190745,Hipposcarus longiceps,actinopterygii,Pacific Longnose Parrotfish,LC
190755,Scarus frenatus,actinopterygii,Bridled Parrotfish,LC
190762,Chlorurus frontalis,actinopterygii,Tan-faced Parrotfish,LC
22694821,Gygis alba,aves,Common White Tern,LC
22698436,Oceanites oceanicus,aves,Wilson's Storm-petrel,LC
22698471,Nesofregetta fuliginosa,aves,Polynesian Storm-petrel,EN
22694722,Onychoprion lunatus,aves,Grey-backed Tern,EX
22727746,Anous ceruleus,aves,Blue Noddy,EX
22698027,Pterodroma neglecta,aves,Kermadec Petrel,LC
22698001,Pterodroma alba,aves,Phoenix Petrel,EX
22697957,Pterodroma cervicalis,aves,White-necked Petrel,VU
22698012,Pterodroma heraldica,aves,Herald Petrel,LC
22697997,Pterodroma longirostris,aves,Stejneger's Petrel,VU
22734070,Puffinus bailloni,aves,Tropical Shearwater,LC
22698222,Puffinus nativitatis,aves,Christmas Shearwater,EX
22697975,Pterodroma cookii,aves,Cook's Petrel,VU
22697963,Pterodroma inexpectata,aves,Mottled Petrel,NT
22697954,Pterodroma nigripennis,aves,Black-winged Petrel,LC
22697970,Pterodroma leucoptera,aves,White-winged Petrel,VU
22697984,Pterodroma pycrofti,aves,Pycroft's Petrel,VU
22698017,Pterodroma sandwichensis,aves,Hawaiian Petrel,EN
22698042,Pterodroma solandri,aves,Providence Petrel,VU
22698039,Pterodroma ultima,aves,Murphy's Petrel,NT
22736173,Sula dactylatra,aves,Masked Booby,LC
22696698,Sula leucogaster,aves,Brown Booby,LC
22696694,Sula sula,aves,Red-footed Booby,LC
22698182,Ardenna bulleri,aves,Buller's Shearwater,VU
22697987,Pterodroma brevipes,aves,Collared Petrel,VU
