iucn_sid,kingdom,phylum,class,order,family,genus,sciname,population,category,subspecies,rank,subpopulation,country_code
133020,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,Acropora tenuis,NA,NT,NA,NA,NA,UM
133021,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,Acropora microphthalma,NA,LC,NA,NA,NA,UM
133023,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Porites,Porites lichen,NA,LC,NA,NA,NA,UM
133025,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,Acropora vaughani,NA,VU,NA,NA,NA,UM
133027,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,SIDERASTREIDAE,Siderastrea,Siderastrea radians,NA,LC,NA,NA,NA,UM
133029,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Favia,Favia rotumana,NA,LC,NA,NA,NA,UM
133033,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,Acropora pulchra,NA,LC,NA,NA,NA,UM
133037,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,MUSSIDAE,Mycetophyllia,Mycetophyllia reesi,NA,DD,NA,NA,NA,UM
133038,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Porites,Porites nigrescens,NA,VU,NA,NA,NA,UM
133041,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,AGARICIIDAE,Pavona,Pavona decussata,NA,VU,NA,NA,NA,UM
133042,ANIMALIA,CNIDARIA,HYDROZOA,MILLEPORINA,MILLEPORIDAE,Millepora,Millepora complanata,NA,LC,NA,NA,NA,UM
133043,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,SIDERASTREIDAE,Psammocora,Psammocora digitata,NA,NT,NA,NA,NA,UM
133045,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,POCILLOPORIDAE,Pocillopora,Pocillopora ligulata,NA,LC,NA,NA,NA,UM
133047,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,MUSSIDAE,Mycetophyllia,Mycetophyllia aliciae,NA,LC,NA,NA,NA,UM
133049,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ASTROCOENIIDAE,Stylocoeniella,Stylocoeniella guentheri,NA,LC,NA,NA,NA,UM
133053,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,MUSSIDAE,Scolymia,Scolymia cubensis,NA,LC,NA,NA,NA,UM
133055,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Favites,Favites halicora,NA,NT,NA,NA,NA,UM
133058,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,PECTINIIDAE,Echinophyllia,Echinophyllia echinata,NA,LC,NA,NA,NA,UM
133060,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Goniastrea,Goniastrea favulus,NA,NT,NA,NA,NA,UM
133062,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,MUSSIDAE,Mycetophyllia,Mycetophyllia lamarckiana,NA,LC,NA,NA,NA,UM
133065,ANIMALIA,CNIDARIA,ANTHOZOA,ALCYONACEA,TUBIPORIDAE,Tubipora,Tubipora musica,NA,NT,NA,NA,NA,UM
133066,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Montipora,Montipora informis,NA,LC,NA,NA,NA,UM
133068,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Platygyra,Platygyra sinensis,NA,LC,NA,NA,NA,UM
133069,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Astreopora,Astreopora cucullata,NA,VU,NA,NA,NA,UM
133071,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Montipora,Montipora foliosa,NA,NT,NA,NA,NA,UM
133073,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Porites,Porites bernardi,NA,LC,NA,NA,NA,UM
133080,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,Acropora selago,NA,NT,NA,NA,NA,UM
133082,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Porites,Porites lutea,NA,LC,NA,NA,NA,UM
133084,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Barabattoia,Barabattoia amicorum,NA,LC,NA,NA,NA,UM
133090,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Leptastrea,Leptastrea purpurea,NA,LC,NA,NA,NA,UM
133091,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,AGARICIIDAE,Leptoseris,Leptoseris scabra,NA,LC,NA,NA,NA,UM
133094,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,SIDERASTREIDAE,Psammocora,Psammocora nierstraszi,NA,LC,NA,NA,NA,UM
133095,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,POCILLOPORIDAE,Pocillopora,Pocillopora meandrina,NA,LC,NA,NA,NA,UM
133098,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,AGARICIIDAE,Leptoseris,Leptoseris papyracea,NA,LC,NA,NA,NA,UM
133099,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,POCILLOPORIDAE,Pocillopora,Pocillopora elegans,NA,VU,NA,NA,NA,UM
133100,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,AGARICIIDAE,Agaricia,Agaricia undata,NA,DD,NA,NA,NA,UM
133102,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,MEANDRINIDAE,Dichocoenia,Dichocoenia stokesii,NA,VU,NA,NA,NA,UM
133105,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Porites,Porites murrayensis,NA,NT,NA,NA,NA,UM
133115,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,Acropora retusa,NA,VU,NA,NA,NA,UM
133116,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,EUPHYLLIDAE,Plerogyra,Plerogyra simplex,NA,NT,NA,NA,NA,UM
133117,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Montipora,Montipora lobulata,NA,VU,NA,NA,NA,UM
133120,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,Acropora latistella,NA,LC,NA,NA,NA,UM
133124,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,MEANDRINIDAE,Dendrogyra,Dendrogyra cylindrus,NA,VU,NA,NA,NA,UM
133127,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,MUSSIDAE,Symphyllia,Symphyllia valenciennesii,NA,LC,NA,NA,NA,UM
